id,condition,scenario,support,achieve,unintended,agency1,agency2,agency3,agency4,agency5,agency6,personalpeople,politics,sex,edu,state,income,hispanic,race,suspicious,comments,notes
27,4,6,5,4,2,7,7,7,7,7,7,6,2,2,5,9,4,2,4,no,,
27,4,7,6,7,3,7,7,7,7,7,7,6,2,2,5,9,4,2,4,no,,
27,4,8,2,3,6,7,7,7,7,7,7,6,2,2,5,9,4,2,4,no,,
27,4,11,6,6,2,7,7,7,7,7,7,6,2,2,5,9,4,2,4,no,,
27,4,14,6,7,1,7,7,7,7,7,7,6,2,2,5,9,4,2,4,no,,
27,4,15,7,6,1,7,7,7,7,7,7,6,2,2,5,9,4,2,4,no,,
28,2,1,1,1,7,5,6,7,7,7,7,4,6,2,8,12,3,2,4,No.,Interesting study.,
28,2,3,7,5,2,5,6,7,7,7,7,4,6,2,8,12,3,2,4,No.,Interesting study.,
28,2,6,7,4,3,5,6,7,7,7,7,4,6,2,8,12,3,2,4,No.,Interesting study.,
28,2,7,4,4,2,5,6,7,7,7,7,4,6,2,8,12,3,2,4,No.,Interesting study.,
28,2,9,7,4,3,5,6,7,7,7,7,4,6,2,8,12,3,2,4,No.,Interesting study.,
28,2,11,5,4,2,5,6,7,7,7,7,4,6,2,8,12,3,2,4,No.,Interesting study.,
28,2,12,7,5,2,5,6,7,7,7,7,4,6,2,8,12,3,2,4,No.,Interesting study.,
28,2,13,2,1,7,5,6,7,7,7,7,4,6,2,8,12,3,2,4,No.,Interesting study.,
29,3,2,1,1,5,7,7,7,7,7,7,7,1,2,8,3,4,2,4,No.,Interesting survey! I enjoyed participating!,
29,3,4,4,3,5,7,7,7,7,7,7,7,1,2,8,3,4,2,4,No.,Interesting survey! I enjoyed participating!,
29,3,5,7,5,2,7,7,7,7,7,7,7,1,2,8,3,4,2,4,No.,Interesting survey! I enjoyed participating!,
29,3,6,1,2,7,7,7,7,7,7,7,7,1,2,8,3,4,2,4,No.,Interesting survey! I enjoyed participating!,
29,3,10,4,4,5,7,7,7,7,7,7,7,1,2,8,3,4,2,4,No.,Interesting survey! I enjoyed participating!,
29,3,11,7,3,1,7,7,7,7,7,7,7,1,2,8,3,4,2,4,No.,Interesting survey! I enjoyed participating!,
29,3,12,7,4,2,7,7,7,7,7,7,7,1,2,8,3,4,2,4,No.,Interesting survey! I enjoyed participating!,
29,3,16,1,1,7,7,7,7,7,7,7,7,1,2,8,3,4,2,4,No.,Interesting survey! I enjoyed participating!,
30,2,4,1,4,5,7,6,6,7,7,7,4,3,1,8,17,2,2,4,No,,
30,2,5,1,5,5,7,6,6,7,7,7,4,3,1,8,17,2,2,4,No,,
30,2,8,4,4,5,7,6,6,7,7,7,4,3,1,8,17,2,2,4,No,,
30,2,9,1,1,6,7,6,6,7,7,7,4,3,1,8,17,2,2,4,No,,
30,2,10,4,5,5,7,6,6,7,7,7,4,3,1,8,17,2,2,4,No,,
30,2,11,1,2,6,7,6,6,7,7,7,4,3,1,8,17,2,2,4,No,,
30,2,13,4,5,5,7,6,6,7,7,7,4,3,1,8,17,2,2,4,No,,
