"","片名","上传日期","播放数","弹幕数","硬币数","收藏数","上传者投稿数","上传者粉丝数","评论数","分享数","标签","简介"
"832","别连科中尉驾驶MiG-25叛逃事件【生肉】","2016-12-19 07:58","1008","0","1","24",200,846,4,0,"日本
苏联
米格25
MiG-25
别连科","https://www.youtube.com/watch?v=GWQPjTWeVIg&t=515s 
1976年9月6日、函館空港にソ連の戦闘機が強行着陸！
それは当時、最新鋭の性能を誇った「ミグ２５」だった。
日本が震撼した事件の真相に迫る！"
"833","【国家地理(HD)】MARS 火星时代（6）: 进退两难 【中文字幕】","2016-12-19 02:55","5340","158","28","179",227,5024,24,7,"国家地理频道
火星时代
国际版 英语中字","TV录制片 马妮提供 火星时代：进退两难/关键抉择（台）Mars：Crossroads
2037年，在火星聚落发生的一个毁灭性悲剧，让身在火星和地球上的所有人，开始质疑这次任务。火星上的任务持续进行的同时，地球上的控制中心也面临挣扎，考虑是否要结束这次任务。镜头回到现代，民间企业太空探索科技公司，再次尝试突破性的火箭科技，希望让人类能够登上火星。
*系列完结  下周预告：除了""火星時代：前傳"" ，国家地理还追加制作了一集相关节目“来龙去脉”，完整述说如何登陆火星的故事。"
"834","BBC-犹太人的故事【中文字幕】游廊金堂伽蓝独立翻译","2016-12-19 02:49","1838","7","16","194",84,445,14,4,"BBC
欧洲
以色列
犹太人
犹太教","BBC 
第一次做字幕，而且还是将近一个小时的历史纪录片。动手的原因是这个系列的字幕太影响观看了
不能用差劲概括，原文意思没有翻译出来还半文半白的，掺杂了他的主观评论。
与原文差异太大，十分影响观看。于是三月前找到了其余三集及字幕，还是他翻译的并且字幕文件
英文和中文之间隔了一行导致无法加载字幕。凑合着看也不行了！视频网站找不到其余三集的原因可能就是字幕太差劲了。
三个月前开始断断续续的翻译了五分之一，周五晚上觉得不能再以这种速度下去于花了
周末两天的时间，终于在2016年12月18日23:10"
"835","【soso字幕组】龟速船长的玩具故事 S01E03 Meccano麦卡诺金属积木 @Sofronio","2016-12-19 00:57","12000","520","122","326",529,139168,52,18,"龟速船长
James May
龟速船长的玩具故事
soso字幕组","BBC 第二集：av7432739 感谢对船长情有独钟的GoBoo的辛勤劳动，带给我们高质量的中文字幕。
本集龟速船长的玩具故事中，詹姆斯·梅（James May）用金属积木麦卡诺，带领团队搭建出了横跨运河的桥。"
"836","【美国 探索频道】美利坚名胜秘录 Secrets of America's Favourite","2016-12-19 00:03","771","2","0","86",239,1014,2,2,"美国
文化
人文
高清
纪录片
科普
美利坚合众国","阿尔卡特拉斯岛（英语：Alcatraz Island，英语俗称The Rock），俗称恶魔岛，是位于美国加州旧金山湾内的一座小岛，面积0.0763平方公里，四面峭壁深水，联外交通不易，因而被美国政府选为监狱建地，曾设有恶魔岛联邦监狱，关押过不少知名的重刑犯，于1963年废止，现与金门大桥同为旧金山湾的著名观光景点。"
"837","纪录片.探索频道.宇宙如何运行：神秘的第九行星.How.The.Universe.Works.S05.2016[高清][","2016-12-18 23:07","1077","10","8","88",786,13876,1,3,"探索频道","【纪录片.探索频道.宇宙如何运行：神秘的第九行星.How.The.Universe.Works.S05.Mystery.of.Planet.9.2016】
有证据表明在太阳系的边缘可能存在目视不可见的第九行星，其质量是地球的10倍。它的构成是岩石、冰或气体？它上面是否有生命？
下载版见微博：@猛犸君侯。高清下载：http://weibo.com/5643224579/Eniuz1O1N"
"838","大明才子解缙","2016-12-18 22:31","2626","66","13","163",1653,59647,17,2,"CCTV
明朝
央视
法律讲堂
解缙","转自cntv 大明才子解缙"
"839","【WGBH/Pearl】小製作大發明【配音中字】","2016-12-18 21:57","911","12","3","32",178,664,0,2,"粤语
科技
科学
中文字幕
生活消閒","tvb 
《小製作大發明》由紐約時報技專欄作家David Pogue主持，以瘋狂有趣的手法，到訪世界各地，介紹影響著人類未來的四大嶄新科技──生物科技、速度、冷凍，以及安全防衛。
http://programme.tvb.com/lifestyle/makingstuff2/
首播日期: 2014.07.02"
"840","《七天：在联邦国防部队》(2014)[亲历探索军旅生活 快选个德国小兵哥来扑吧 中德双语]","2016-12-18 21:17","1433","52","11","144",163,11810,8,3,"战争","豆瓣2.0小组发布 德国废除义务兵役制后，那些以性命为代价替德国杀戮的志愿兵究竟是哪些人？《七天：在联邦国防部队》(2014)记录梅前州某兵营的基本训练，通过记者日常亲身体验和与战士的直接互动探索军旅生活中的单调寂寞和刺激冒险，重点关注战友之谊和个人憧憬，最终将对国家荣誉的守卫纠正为对内心安全感的守护。"
"841","【渡边笃史建筑物探访】第1392回【生肉 60fps】20161126 每集介绍一栋有特色的日本民宅","2016-12-18 20:47","1135","26","15","51",206,9773,5,2,"家居
全能住宅改造王
住宅
日本建筑
装修设计
渡边笃史建筑物探访
渡边笃史
渡辺篤史の建もの探訪","每集介绍一栋有特色的日本民宅。自录720p 60fps无二压，转载请注明出处，谢谢。
UP的微博  http://weibo.com/lead1986
【家装节目交流群 511130062】

【朝日】渡辺篤史の建もの探訪 第1392回 「神奈川県大和市<U+30FB>今井邸 － 内装はDIY シンプルな箱の家 －」【生肉】20161126
节目官网 http://www.tv-asahi.co.jp/tatemono/"
"842","【纪录片】【中字】沉默与黑暗的世界 Land des Schweigens und der Dunkelheit (19","2016-12-18 20:31","225","0","1","30",36,179,1,1,"德国
沃纳·赫尔佐格
Werner Herzog
无声无色","【网络】 本片是德国新电影四杰之一沃纳·赫佐格的纪录片杰作，与其同年作品《小小迪特要飞行》同是世界纪录影像史上经典纪录影像之一。
影片通过对Fini Straubinger, 一个从十几岁起就既聋又瞎的老妇的纪录，关照整个聋瞎人群。 这部影片展示聋瞎人群的奋斗，让外界了解和接受他们几乎完全与世隔绝的世界。
沃纳·赫尔佐格，（1942.9.5~）,世界著名纪录片导演，并与沃尔克·施隆多夫、莱纳·维尔纳·法斯宾德、维姆·文德斯合称为“新德国电影四杰”。"
"843","【NHK】日本美食纪录片整合【熟肉】","2016-12-18 19:32","7311","40","10","521",296,5269,6,7,"日本美食","网络 日本美食纪录片整合"
"844","纪录片.Ch4.宏大构想：2016年度房屋设计.Grand.Designs[全4集][高清][生肉]","2016-12-18 19:28","1315","14","10","190",786,13876,4,8,"Ch4","Ch4 【纪录片.Ch4.宏大构想：2016年度房屋设计.Grand.Designs.House.Of.The.Year.S02.2016】"
"845","86版西游记导演杨洁，87版红楼梦，94版三国演义导演王扶林做客央视《读书》栏目畅谈电视剧创作幕后","2016-12-18 18:27","3402","242","10","155",278,3675,18,15,"CCTV
三国演义
西游记
文化
读书
杨洁
中国
红楼梦
艺术
汪粤
王扶林","央视网 84岁高龄的导演杨洁《读书》现场讲述西游记6年艰苦拍摄，如此大规模的鸿篇巨制，竟然是用了一台旧摄像机单机完成，而唯一的摄像师正是小了杨洁14岁的，她的丈夫王崇秋。这对刚毅妻子和柔情丈夫之间，又有着怎样的九九八十一难呢？今年82岁的著名导演王扶林是87版《红楼梦》和94版《三国演义》的总导演。王扶林有良好的生活习惯，他带我们共同领略了他眼中的红楼，与大家分享红楼拍摄前的剧组趣事，贾宝玉扮演者欧阳奋强在王导面前的首次亮相被认为“太土”。回首以前拍过的《红楼梦》，王扶林却认为它是门遗憾的艺术。"
"846","纪录片：共和国战争系列（东战联军三千里、北击雪原珍宝雄、西顾恒河婆罗门，虎啸南天老街雄）","2016-12-18 18:23","3138","124","41","389",22,5154,20,5,"战争
军事
印度阿三
纪录片
越南猴子
共和国万岁
高丽南棒
苏联毛熊","八一电影制片厂 共和国战争系列：
从1949年中华人民共和国成立到2014年，中国政府为维护世界及远东和平，保卫国家领土和主权的完整，共进行了五次对外战事，它们依次是：抗美援朝战争、中印边界自卫反击战、中苏边界武装冲突（珍宝岛战役）、西沙海战和对越自卫反击作战。这五个战事均是在错综复杂的国际形势下被迫进行的，从而推动了世界的和平发展和人类的进步潮流。"
"847","【央视纪录片】野性深圳","2016-12-18 17:25","3579","115","19","226",350,37185,18,9,"动物
央视纪录片
自然景观
深圳","网盘 《野性深圳》是深圳湾生态系统的侧写，这里有红树林里的爱恨情仇，有伶仃岛上的猕猴王国。纪录片历时三载倾力制作，充满童趣又不失教育意义，令人万分期待。招潮蟹挥舞的大螯，弹涂鱼挖洞建屋，黑脸琵鹭舞蹈似的捕食……"
"848","【真相】鹤舞邙山【超清版】","2016-12-18 17:03","8288","140","27","784",11,66,12,29,"邙山
洛阳
cctv","本期节目主要内容：邙山，蜿蜒于洛阳、孟津、偃师三境，其“背山面河”、地势开阔、土层深厚，被认为是死后长眠的理想之地。邙山陵墓群是世界上古代陵墓分布较为集中的地区之一，有“东方金字塔”之称。墓葬文化，是人类文明史的重要组成部分，邙山墓葬群，更是这种文明进化的真实写照。"
"849","【看中医】伤科、中药学、食养气功","2016-12-18 16:50","727","9","4","145",239,1014,11,8,"文化
中国
纪录片
科普
养生保健
中医养生
慈济
养生气功","中医伤科，除了伤骨骨折之外，还包含了创伤、挫伤、伤血、伤气等等，治疗方式有推拿理筋、内服药、外敷药、薰洗。"
"850","【纪录片】印度 斋浦尔市集 - 市集游（华语）Markets In Asia 08（完）","2016-12-18 16:38","1699","17","8","84",529,18152,5,5,"旅行
社会
人文
市集游","印度斋浦尔，这里曾是古代皇宫，繁华与众不同，特色市集吸引着游客一探究竟


01集：av7484348，02集：av7497987，03集：av7511047，04集：av7523893，05集：av7539345
06集：av7539345，07集：av7567563
一个市集，一种文化，一段故事。
八座亚洲城市，有趣的市集之旅～"
"851","法律讲堂（生活版）20161217 妻子的心结","2016-12-18 16:20","516","7","4","3",1653,59647,1,1,"CCTV
纪实
社会
央视
法律讲堂","转自cntv 法律讲堂（生活版）20161217 妻子的心结"
"852","《一线》20161217 隔壁的男人","2016-12-18 15:59","2124","33","6","12",1653,59647,15,0,"CCTV
纪实
社会
央视
一线","转自cntv 《一线》20161217 隔壁的男人"
"853","法律讲堂（生活版）20161216 结婚遇骗子","2016-12-18 15:47","421","6","0","2",1653,59647,3,0,"CCTV
纪实
社会
央视
法律讲堂","转自cntv 法律讲堂（生活版）20161216 结婚遇骗子"
"854","央视魅力纪录《南美五猛兽》 1080P修复版","2016-12-18 15:39","763","7","2","68",313,15068,2,0,"CCTV
央视
纪录片
南美","http://www.onehourlife.com/wumengshou/ 在世界的另一端，有一群充满野性的动物，他们参与塑造，甚至改变了南美洲的景象。与猎人不同，我们的兴趣不在于获取猎杀战利品，而在于镜头背后的刺激与挑战。但正如那个时代的猎人一样，我们也需要当地向导的帮助——他们能洞察一切蛛丝马迹，带我们一同探寻“南美五猛兽”。"
"855","【今日说法之撒贝宁时间】 20161218 刑警队长 刘成晓","2016-12-18 14:58","8206","369","17","39",172,3196,23,2,"央视
今日说法
撒贝宁
刑警队长
撒贝宁时间","CNTV 写字楼里惊现案发现场，没有人知道他是谁，面对现场，她有着别样的想法……新的案子又摆在眼前，黄金被盗，窃贼进店的方法让人意想不到……敬请关注《刑警队长 刘成晓》"
"856","贯穿天山的南疆铁路 9 | NHK特集1980 | 中文字幕粤语配音","2016-12-18 14:48","1922","37","4","61",31,138,4,10,"火车
铁路
绿皮车
蒸汽机车
熟肉搬运","https://www.youtube.com/watch?v=NQtGJPldoNM&t=865s NHK于1980年制作的南疆铁路纪录片，展现了南疆铁路刚部分通车不久的面貌。中文字幕粤语配音。"
"857","央视国宝档案【2004】","2016-12-18 13:46","615","6","0","55",7,20,1,0,"央视
纪录片
国宝档案","来自央视网 国宝档案节目将介绍一个具体的国宝文物，这些凝聚着中华民族智慧和传统文化的历代传世国宝文物，既有受到政府保护收藏在祖国大陆各个博物馆中的，也有收藏于民间被国人精心呵护的；既有因历史原因东渡海峡存于宝岛台湾的，也有历尽磨难流失海外漂泊他乡的……"
"858","【经典人文地理】《厝棺谜案》2集全","2016-12-18 12:58","1394","16","1","53",61,1029,6,0,"考古","云南卫视  施工现场出土的神秘棺椁，散发着奇异香味的清代女尸，历经时光的洗刷，她为何还能保持尸身不腐？出土现场疑点重重，她是谁？她的背后又有着什么样的故事？"
"859","狂言师 野村万斋--《艺路无穷，真挚献上》","2016-12-18 12:57","4721","118","73","492",16,3975,30,24,"NHK纪录片
野村万斋
阴阳师
NHK
纪录片
狂言师","猪猪字幕组 老帅了。介绍目前日本最当红的狂言师兼演员 野村万斋的纪录片，包含很多不为人知的秘辛，非常专业及精彩。
野村万斋，日本著名狂言师，被誉为未来国宝。
以电影「阴阳师」为首，超越日本传统艺能界活跃的狂言大师野村万斋在国内外都受到极大注目。
狂言：通过在现实世界中取材的人物或事件用幽默的方式给武士和其他贵族阶级以辛辣的讽刺。并且因为作品都是从庶民的生活中取材，再以当时的口语演出，所以更易被广大劳动人民所接受，而成为一种最为典型的平民艺术形式。

哎，妈呀，万斋叔老帅了。"
"860","【1-10合集】舌尖上的越南（越南语/粤语）Taste of Vietnam 1-10合集","2016-12-18 12:51","14000","117","16","785",529,18152,24,9,"旅行
社会
人文
越南
美食
舌尖上的越南","带你了解越南的美食，风景，文化，跟着镜头出发吧～
01集：av7418609，02集：av7432262，03集：av7445183，04集：av7460009
05集：av7478097，06集：av7494967，07集：av7507833，08集：av7519783
09集：
av7533654
共23集"
"861","我们都在漫画中变强了 (16-12-16 NHK-BS1) 耀眼的长刀！漫画和女子高中生的炽热的羁绊 [1080i]","2016-12-18 12:50","570","3","2","24",92,409,4,2,"NHK节目","NHK 番組内容
日本古来の武道“なぎなた”が、女子高生を中心に人気となっている。
その火つけ役といわれるのが、高校のなぎなた部を舞台にした青春ストーリー、マンガ「あさひなぐ」だ。
初心者だった主人公が、仲間やライバルと切さたく磨しながら成長するスポ根ものの王道をいく作品で、多くの読者の共感を呼んでいる。
番組では、作者<U+30FB>こざき亜衣の知られざる創作の現場、さらに高校総体で優勝を狙う女子高生たちに密着。
なぎなたの魅力に迫る。"
"862","【看中医】病因体质、针刺灸法","2016-12-18 12:45","332","0","2","82",239,1014,1,3,"香港电影
文化
人文
中国
科普
养生保健
中医百草
猛鬼出笼","范进数十年寒窗苦读，一听到自己中了举人的好消息，竟然高兴到无法置信，一脚跳到池塘裡，像发疯一样，后来才被他的岳父打醒。范进为什麽高兴得发疯？为什麽胡屠户能打醒范进？这个有趣的故事，跟本集节目讨论的主题「病因与病机」有关系。"
"863","【CCTV9纪录片】《解密狮虎兽》 两集全","2016-12-18 12:37","1027","10","1","18",61,1029,1,2,"动物
狮虎兽","CCTV 狮虎兽是狮子和老虎的杂交后代同属猫科的一员，2007年9月14日海南野生动物园里又降生了3只狮虎兽。使得这所动物园狮虎兽的个体数量达到了10只，成为世界上拥有狮虎兽最多的动物园。"
"864","【中英双字】Too Young to Die-Kurt Cobain 涅槃柯本纪录片：英年早逝-科特柯本【个人译制】","2016-12-18 12:20","357","5","6","42",10,280,2,3,"摇滚
NIRVANA
纪录片
涅槃","视频来自Youtube，个人中文译制 FilmRise出品，Niels Negendank导演，涅槃乐队主唱兼吉他手科特·柯本的纪录片Too Young to Die - Kurt Cobain （英年早逝 - 科特·柯本）。之前出的是德语，这次终于出了英语版。由up主个人译制，第一次译制长度如此大的视频难免有不少毛病，还望见谅轻喷，不足之处可以指教更正，本人会收集并重新压制二次上传。英文字幕准确率99%以上，英文好的可以忽略中文直接看英文。"
"865","启德传奇 - 纪录片","2016-12-18 11:43","713","2","1","20",4,8,1,2,"紀錄片
Kai Tak Airport
啟德機場","https://www.youtube.com/watch?v=Gzn2KmtT8mM 
启德传奇 - 纪录片
视频转载于：
https://www.youtube.com/watch?v=Gzn2KmtT8mM
https://www.youtube.com/watch?v=Yx9e0tdZshA"
"866","麦哲伦奉献：国家地理.远古工程巡礼.吉萨大金字塔","2016-12-18 11:19","967","3","4","51",28,210,2,0,"BBC
吉萨金字塔
麦哲伦
远古工程巡礼","BBC 吉萨大金子塔 The Great Pyramid
古代世界曾有7大奇观，他们是人类智慧的结晶。然而这些奇观却在时间的沙砾中随之化为尘土。只有一个例外，吉萨大金字塔。它经历了4500年的风雨洗礼仍旧屹立不倒。它的古老奇观象征着人类巧思的丰碑，也由此产生了无数的神话传说"
"867","【看中医】经络总论、正奇八脉","2016-12-18 10:29","665","5","3","132",239,1014,3,3,"中国
文化
科普
纪录片
养生保健
奇经八脉
中医养生
慈济
中医文化
十二正经","经络学说，最早源自于《黄帝内经》，在这本两三千年前的医学经书裡，清楚记载了经络的功能与分布。宋代的医家窦材，在《扁鹊心书》这本书中也提到：「学医不知经络，开口动手便错。」也就是说，中医的治病用药、针灸推拿，都离不开经络。究竟经络存在人体何处？对人体有哪些作用？中医又是如何透过经络来看病？"
"868","【探索频道(HD)】Mighty Ships 船舶巨无霸 第9季(3)：北海巨人号【中文字幕】","2016-12-18 09:45","2727","3","9","80",227,5024,4,1,"国际版 英语中字
船舶巨无霸第九季
Disvovery 探索频道","TV录制片 马妮提供   《船舶巨无霸 Mighty Ships》独家探索世界上最令人惊艳的船舶。了解这些大船内部的复杂运作，一窥现代航海船的机械，还有航海人高潮迭起的故事。无论是货柜船、破冰船，还是牲口运输船，《船舶巨无霸》中每艘船都浩浩荡荡航向旅程，节目纪录船内船上发生的事。以高画质HD拍摄，以最精致的视觉效果诉说这些船只的故事，前所未有进入船内许多一般人只能凭空想像的区域

Mighty Ships S9#3：North Sea Giant 船舶巨无霸 第9季(3)：北海巨人号  -- 海"
"869","剧情 美国  北方的纳努克Nanook.Of.The.North.1922","2016-12-18 09:37","383","4","0","21",169,1116,2,0,"经典电影","土豆 1111"
"870","CCTV-1《中华民族》  星空之约","2016-12-18 09:34","1075","14","6","25",850,2269,4,1,"中华民族
射电望远镜
贵州
天眼
喀斯特地貌
平塘县","CCTV-1 生动记述“天眼”FAST500米口径球面射电望远镜所在地的地理环境与民俗风情，介绍“天眼”建设者与建设过程"
"871","空中格斗-Dogfights-S1E04【中文字幕】","2016-12-18 09:28","1988","79","13","54",142,971,10,2,"历史频道
空中格斗","ed2k 听译  空中格斗 第一季 第四集 “瓜岛空战”
这集拖的时间有些太长了，上个月生病的几个星期里一字未动
封面 by Roy Grinnell"
"872","拿破仑侵俄战争II02：民族战争（1812-1815 对外出征）","2016-12-18 05:49","1665","4","8","96",14,278,10,7,"战争
军事
历史
纪录片","俄罗斯第一电视台 本片由俄罗斯第一电视台Star Media制作，第一季4集已在央视播出，此系列为第二季。"
"873","ITV1: 猎豹王国","2016-12-18 05:03","350","3","0","16",579,1542,4,1,"猎豹
狮子
花豹
鬣狗","http://i.youku.com/i/UMzk0Njc1NTk2 ITV1: 猎豹王国"
"874","国家地理：掠食者犯罪现场","2016-12-18 04:32","452","0","2","15",579,1542,0,1,"虎鲸
大象
大白鲨
狮子
非洲狮
鳄鱼
杀人鲸
雄狮
河马
黑熊","http://i.youku.com/i/UMzk0Njc1NTk2 国家地理：掠食者犯罪现场"
"875","央视《特别呈现》 20161213 罪行与忏悔——日本与德国","2016-12-18 03:59","1286","22","9","54",13,322,11,9,"回忆
南京南京
忏悔","http://tv.cctv.com/2016/12/14/VIDENChsyFUx7fdAumqvRF5J161214.shtml http://tv.cctv.com/2016/12/14/VIDENChsyFUx7fdAumqvRF5J161214.shtml
特别节目"
"876","国家地理：非洲野生王国重生","2016-12-18 01:46","256","0","0","7",579,1542,0,0,"大象
巨蜥
斑马
狮子
非洲狮
鳄鱼
雄狮
尼罗鳄","http://i.youku.com/i/UMzk0Njc1NTk2 国家地理：非洲野生王国重生"
"877","国家地理：猎杀决胜点","2016-12-18 00:32","330","2","0","8",579,1542,1,1,"北极熊
猎豹
虎鲸
逆戟鲸
大白鲨
狮子
非洲狮
鳄鱼
杀人鲸
雄狮","http://i.youku.com/i/UMzk0Njc1NTk2 国家地理：猎杀决胜点"
"878","历史频道：搜寻古代怪兽","2016-12-17 23:45","803","2","0","18",579,1542,5,1,"恐龙
怪兽
西方龙
原角龙","http://i.youku.com/i/UMzk0Njc1NTk2 历史频道：搜寻古代怪兽"
"879","【CCTV-《探索发现》】丝路：沙与海的交响 (4集全)","2016-12-17 23:42","663","1","4","41",47,325,0,1,"中国
丝绸之路
一带一路","　2016年3月26日，粤新欧中欧国际货运班列开通。从广东东莞出发，经由新疆阿拉山口，奔赴中亚、俄罗斯和东欧，甚至远达西欧。运输时间和物流费用，在这里找到了最佳的平衡点。而类似粤新欧这样的国际货物快运班列，全国已有9条，将来还要增加到19条。 　　中巴友谊公路，被誉为金字塔建造以来人类最浩大的工程，也是世界上海拔最高的国际公路，最高海拔达4733米。这条国际物流大通道，将新疆喀什和巴基斯坦的瓜达尔港联接在了一起，也将中国的西部内陆和广阔的印度洋联接在了一起。"
"880","9分钟《汉江》宣传片","2016-12-17 23:16","492","4","3","9",1,3,3,2,NA,"《汉江》由湖北省委宣传部、湖北广播电视台和北京中视星云文化传播有限公司联合摄制。 《汉江》分为“源远流长”“文明纽带”“兴国之本”“魂济中华”“灿若星河”“天下之中”六个章节，不仅讲述这条不长的河流以其海纳百川、包容万象的气度，成为盛世汉唐享誉海外的标志，同时从文化层面探讨汉江南北交通、文化交融，展现汉江这片土地的勃勃生机。汉江是长江的最大支流，在建设长江经济带的战略进程中，汉江中下游将为城镇化发展提供巨大空间，为中国经济增长提供有力支撑。今年秋汛后，南水北调中线工程将把清澈甘洌的汉江水送往干渴"
"881","【看中医】奇恒之腑、精氣神血津液","2016-12-17 22:43","363","2","3","94",239,1014,10,3,"中国
文化
纪录片
科普
中医百草
中医养生
慈济
中医文化
奇恒之腑
精氣神血津液","除了五臟六腑，人体还有所謂的「奇恆之腑」，為什麼叫「奇恆之腑」？「奇恆之腑」又有哪些呢？"
"882","CCTV9档案 中美外交档案解密_高清","2016-12-17 22:27","700","17","3","27",45,78,3,0,"优酷","优酷 中美外交档案解密"
"883","国家地理：动物斗阵俱乐部（熟肉）","2016-12-17 22:00","573","3","0","21",579,1542,0,1,"老虎
猎豹
大象
狮子
美洲虎
非洲狮
长颈鹿
花豹
雄狮
河马","http://i.youku.com/i/UMzk0Njc1NTk2 国家地理：动物斗阵俱乐部（熟肉）"
"884","君特.旺德纪录片我的人生，我的音乐+最后的采访(英文字幕)","2016-12-17 21:18","65","3","2","9",497,130,5,0,"纪录片
君特.旺德
旺德
汪德
Günter Wand
Documentary","Sony, RCA red seal 
DVD自压
君特.旺德纪录片和最后的采访。
Günter Wand - My Life, My Music
p1导演：Robert Reiter
p2导演：Jürgen Czwienk
Total time：105:41"
"885","【中国大陆】楚国八百年（8集）","2016-12-17 21:03","3934","77","15","307",2,20,25,4,"历史频道","第1集 初生 三千六百多年前，自认为火神祝融之后的楚人在商朝军队的驱逐下，被迫离开中原，向南迁徙，并被商朝认为南方的蛮族。几百年间，楚人在黑暗中苦苦等待着重回中原怀抱的机会。于是，鬻熊率领部族参与推翻商王朝的战争，甚至死在征讨的路上。然而尝尽艰辛、饱受屈辱、付出巨大代价之后，楚人依然被周王朝排斥在中原文明主体之外，直到周成王封熊绎为“子爵”，封地五十里，虽然爵位地下，国土狭小，但楚人毕竟拥有了自己的国家，成为了中原礼制体系中的一份子。然而，周昭王率军南下攻楚国。楚人回归中原的满腔热情。"
"886","《外国人在中国》 20161217 我的中国味道 720P","2016-12-17 20:36","1e+05","1812","132","1201",918,38362,211,68,"外国人在中国
CCTV
成都
西安","CNTV 转自CNTV"
"887","【央视】汶川地震专题片：震撼—汶川大地震纪实(共6集)","2016-12-17 19:50","2946","18","9","142",8,57,11,4,"汶川地震
新闻直播间
抗震救灾","CCTV     2008年5月12日，汶川大地震，震撼了大地，震动了全中国。中央电视台以年初抗冰救灾的经历，打断正常节目播出次序，全方位传递抗震救灾的信息。地震紧紧数日，央视就以专题片的形式，比较全面地推出了这部专题片，新闻片及时地回顾了全国人民与灾区人民一道抗震救灾的波澜壮阔过程，给仍旧在救灾一线以及关心地震灾害的全国人民极大的安慰与鼓励。
    地震时，我距离震中1000余公里，身处20层高楼。当我在剧烈的振幅中从楼梯背下我70余岁的奶奶的，我仍有深深的恐惧。多难兴邦！中国人民万岁！"
"888","【短纪录片】鹿特丹：欧洲之港 1966 Rotterdam-Europoort【尤里斯·伊文思】【荷兰】","2016-12-17 19:14","238","0","0","13",36,179,0,0,"尤里斯·伊文思
Joris Ivens
Rotterdam-Europoort","【网络】 本片的拍摄背景是1966 被迫侨居国外20余年的伊文思被准予回到祖国荷兰，他决定拍摄一部反映港口城市鹿特丹的影片。
影片独辟蹊径地以荷兰民间传说“飞翔的荷兰人”为主线，表现了一个具有叛逆性格的荷兰的形象。"
"889","【CCTV】自然传奇  角斗士","2016-12-17 19:11","337","0","1","5",394,1683,0,0,"CCTV
动物
大象
非洲
自然传奇
狮子
卡拉哈里沙漠","CCTV 本期节目主要内容： 在非洲卡拉哈里沙漠，由七只狮子组成的团队对决象群，一定会有一场难分胜负的较量。生活在萨维特的公象，是地球上最大的陆地哺乳动物。由于饥饿和干渴，象群被困沼泽，而狮群却得到了充裕的食物。等待雨季来临，象群就会获得一线生机。 （《自然传奇》 20161215 角斗士）"
"890","纪实高清：神兽传说","2016-12-17 19:06","1895","14","4","87",579,1542,3,1,"北海巨妖
狮鹫
鸟怪
喷火巨龙","http://i.youku.com/i/UMzk0Njc1NTk2 纪实高清：神兽传说"
"891","【CCTV-9】《历史的拐点之汉匈之战》 （6集全）","2016-12-17 18:44","17000","1102","64","939",564,3624,133,23,"历史
匈奴
汉朝
历史的拐点
汉匈之战","转载自CNTV 烽火狼烟，是马蹄奔腾触发的警报。匈奴，带着力量与速度，侵袭汉的边疆。生存的渴望挑战家园的安宁。防御还是进攻，汉武大帝发出强势怒吼。这是石头与铁的碰撞，注定没有最终的胜者。当匈奴人黯然踏上西迁的旅程，在血泊中站立的汉王朝，开始重新探寻理性与和平。"
"892","【央视面对面】20161211被海盗劫持之后&接人质回家","2016-12-17 18:41","332","2","1","12",32,1000,2,1,"央视新闻
央视面对面","央视 面对面 《面对面》是中央电视台的一档长篇人物专访节目，时长45分钟，每周日晚21：30在新闻频道播出。秉持新闻性、权威性、关注度、影响力的诉求，面对面的交流，心与心的碰撞，用对话记录历史，以人物解读新闻。进入《面》的人物都是重量级的，他们中有新闻事件中的焦点人物，有新闻话题中的权威人物，有时代变革中的风云人物，有备受关注的公众人物。他们因为非凡的影响力进入了《面》，而《面》让他们更加具有影响力。 我们共同的理想是：为变幻中国制作一份打开的人物志。所以，我们以更人文的态度关注社会，以更开放的"
"893","High School","2016-12-17 18:29","94","0","0","7",16,57,1,0,"纪录片
片段
高中","来源：vimeo https://vimeo.com/176401029 
Release date: May 1968 (USA)
Director: Frederick Wiseman
Film series: High School
Producer: Frederick Wiseman
Cinematography: Richard Leiterman
Editor: Frederick Wiseman"
"894","【央视】抗击雨雪冰冻灾害特别节目—雪战【第三集】","2016-12-17 17:56","337","2","1","8",8,57,0,0,"恶劣天气
解放军救灾","CNTV 2008年大年初一到初三，中央电视台新闻频道推出三集抗击雨雪冰冻灾害特别节目《雪战》。节目分《暴雪突袭》、《千里融冰》、《雪寒血热》，以全景式扫描为经线，以感人故事为纬线，大手笔勾勒发生在2008年年初的雪战图景，展示了党中央、国务院带领人民群众抗击冰雪灾害的拼搏奋斗精神及团结互助风貌。作为每集时长35分钟的新闻深度报道，《雪战》在雪灾进行过程中同步启动，在抢险抗灾收尾阶段及时播出。此外，根据新闻事件的不断发展变化更新调整节目内容，其时效性、权威性、新闻资讯整合能力令人印象深刻。"
"895","【苏联之翼】苏联飞行器发展史","2016-12-17 17:46","2314","11","7","155",1,9,4,3,"苏联
历史
纪录片
飞行器","Wings of Russia Studio 介绍苏联飞行器历史的一套纪录片"
